_id,baujahr,baujahrZusatz,bezirk,denkmalnummer,feedsEntityId,feedsFlatstoreEntryId,kurzbezeichnung,lat,lon,nummer,ort,plz,strasse,timestamp,unterSchutz,untergruppe1,untergruppe2
,1244,,1,927,1187,930,Minoritenkirche,0.0,0.0,2,Altstadt-Nord,50667,"Kolpingplatz / Minoritenstrasse",1432648737,18.01.1982,,0
,1230,um,1,936,1187,939,"Pfarrgebäude St. Severin",0.0,0.0,"o.Nr.  //  29",Altstadt-Süd,50678,"Severinskirchplatz / Im Ferkulum ",1432648737,07.02.2000,,0
,1643,,1,948,1187,950,"Klostergebäude St. Maria vom Frieden / Kirche",0.0,0.0,"4, 6-10",Altstadt-Süd,50676,"Vor den Siebenburgen ",1432648737,18.01.1982,,0
,1700,um,2,949,1187,951,"Kapelle St. Georg",0.0,0.0,o.Nr.,Weiß,50999,"Weißer Hauptstrasse",1432648737,18.01.1982,,0
,0,,2,951,1187,953,"Kirche St. Katharina, Kreuzwegstationen u.ä.",0.0,0.0,o.Nr.,Godorf,50997,"Immendorfer Hauptstrasse",1432648737,20.01.1982,,0
,1883,,1,955,1187,957,"Wohn- u. Geschäftshaus",0.0,0.0,7,Altstadt-nord,50672,"Hildeboldplatz ",1432648737,21.01.1982,,0
,1905,um,1,979,1187,981,Wohnhaus,0.0,0.0,6,Neustadt-Süd,50678,"An der Bottmühle ",1432648737,19.02.1982,,0
,1908,um,2,986,1187,988,Wohnhaus,0.0,0.0,96,Marienburg,50968,"Unter den Ulmen",1432648737,01.03.1982,,0
,1925,um,2,990,1187,992,Wohnhaus,0.0,0.0,49,Marienburg,50968,"Am Südpark",1432648737,24.03.1982,,0
,1910,um,9,992,1187,994,Schlackenbergwerft,0.0,0.0,o.Nr.,Mülheim,51061,"Stammheimer Ufer ",1432648737,02.04.1982,,0
,1905,um,1,999,1187,1000,Wohnhaus,0.0,0.0,4,Neustadt-Süd,50678,"An der Bottmühle ",1432648737,29.04.1982,,0
,1906,,1,1000,1187,1001,"Kirche St. Paul",0.0,0.0,o.Nr.,Neustadt-Süd,50677,"An der Pauluskirche",1432648737,03.05.1982,,0
,1765,,1,1008,1187,1009,"Elendskirche St. Gregor u. Kirchhof",0.0,0.0,5,Altstadt-Süd,50678,"An St. Katherinen ",1432648737,19.05.1982,,0
,14,,1,1009,1187,1010,"Kirche St. Johann Baptist",0.0,0.0,o.Nr.,Altstadt-Süd,50678,"An Zint Jan ",1432648737,19.05.1982,,0
,19,,1,1020,1187,1021,"Krankenhaus St. Marien Hospital",0.0,0.0,"11-13 / 2",Altstadt-Nord,50668,"Kunibertskloster / Unter Kahlenhausen",1432648737,24.05.1982,,0
